id,title,release_date,imdb_score
19,The Bourne Identity,SummerVacation,7.9
19,American Gangster,Christmas,7.8
19,Scary Movie 3,Other,5.5
19,The Terminal,SummerVacation,7.3
19,The Fast and the Furious,SummerVacation,6.8
19,Penguins of Madagascar,Christmas,6.7
19,The Hangover Part III,SummerVacation,5.8
19,Hotel Transylvania,Other,7.1
19,The Last Airbender,SummerVacation,4.1
20,Little Fockers,Christmas,5.5
20,Vanilla Sky,Christmas,6.9
20,Inside Man,Easter,7.6
20,Home,Easter,6.6
20,Edge of Tomorrow,SummerVacation,7.9
20,The Lorax,Easter,6.4
20,A Star Is Born,Other,7.7
20,Collateral,SummerVacation,7.5
20,Independence Day: Resurgence,SummerVacation,5.2
20,Miss Congeniality,Christmas,6.2
20,War for the Planet of the Apes,SummerVacation,7.4
20,Rush Hour 3,SummerVacation,6.2
20,"10,000 BC",Easter,5.1
20,Elf,Christmas,6.9
20,X-Men: First Class,SummerVacation,7.7
21,Million Dollar Baby,Other,8.1
21,Cats & Dogs,SummerVacation,5.1
21,Wild Hogs,Easter,5.8
21,Gone Girl,Other,8.1
21,The Incredible Hulk,SummerVacation,6.7
21,Two Weeks Notice,Christmas,6.1
21,Traffic,Other,7.6
21,Poseidon,SummerVacation,5.6
21,The Proposal,SummerVacation,6.7
21,Rampage,Easter,6.1
21,Master and Commander: The Far Side of the World,Christmas,7.4
21,Alvin and the Chipmunks: Chipwrecked,Christmas,4.3
21,Now You See Me,SummerVacation,7.3
21,The Greatest Showman,Christmas,7.6
21,Once Upon a Time... in Hollywood,SummerVacation,7.8
22,Journey 2: The Mysterious Island,Other,5.8
22,Hollow Man,SummerVacation,5.8
22,Deja Vu,Christmas,7
22,The Longest Yard,SummerVacation,6.4
22,Panic Room,Easter,6.8
22,Juno,Christmas,7.4
22,The Blind Side,Christmas,7.6
22,Atlantis: The Lost Empire,SummerVacation,6.9
22,Marley & Me,Christmas,7.1
22,S.W.A.T.,SummerVacation,6
22,Shutter Island,Other,8.1
22,Real Steel,Other,7.1
22,The Smurfs 2,SummerVacation,5.3
22,Shazam!,Easter,7.1
23,Spy Kids 3-D: Game Over,SummerVacation,4.2
23,Noah,Easter,5.8
23,Dumbo,Easter,6.3
23,G.I. Joe: The Rise of Cobra,SummerVacation,5.8
23,Scary Movie 4,Easter,5
23,Bridesmaids,SummerVacation,6.8
23,Salt,SummerVacation,6.4
23,Walk the Line,Christmas,7.8
23,102 Dalmatians,Christmas,4.9
23,The Conjuring,SummerVacation,7.5
23,High School Musical 3,Other,4.7
23,The Sum of All Fears,SummerVacation,6.4
23,The Expendables 2,SummerVacation,6.6
23,The Mummy,SummerVacation,5.4
23,Solo: A Star Wars Story,SummerVacation,6.9
