"year","character_name","n"
1952,"Phoebe",100
1952,"Monica",1465
1952,"Ross",908
1952,"Chandler",17
1952,"Joey",260
1953,"Rachel",1786
1953,"Phoebe",95
1953,"Monica",1598
1953,"Ross",919
1953,"Chandler",16
1953,"Joey",357
1954,"Rachel",1809
1954,"Phoebe",130
1954,"Monica",1827
1954,"Ross",1000
1954,"Chandler",24
1954,"Joey",531
1955,"Rachel",1815
1955,"Phoebe",120
1955,"Monica",1812
1955,"Ross",1027
1955,"Chandler",23
1955,"Joey",720
1956,"Rachel",1679
1956,"Phoebe",109
1956,"Monica",2160
1956,"Ross",992
1956,"Chandler",26
1956,"Joey",975
1957,"Rachel",1832
1957,"Phoebe",105
1957,"Monica",2487
1957,"Ross",957
1957,"Chandler",32
1957,"Joey",1077
1958,"Rachel",1666
1958,"Phoebe",110
1958,"Monica",2422
1958,"Ross",1040
1958,"Chandler",22
1958,"Joey",1111
1959,"Rachel",1754
1959,"Phoebe",116
1959,"Monica",2600
1959,"Ross",1029
1959,"Chandler",25
1959,"Joey",1147
1960,"Rachel",1791
1960,"Phoebe",116
1960,"Monica",3096
1960,"Ross",1050
1960,"Chandler",28
1960,"Joey",1229
1961,"Rachel",2063
1961,"Phoebe",119
1961,"Monica",3402
1961,"Ross",1022
1961,"Chandler",31
1961,"Joey",1286
1962,"Rachel",1947
1962,"Phoebe",110
1962,"Monica",4017
1962,"Ross",1145
1962,"Chandler",38
1962,"Joey",1571
1963,"Rachel",2184
1963,"Phoebe",106
1963,"Monica",4007
1963,"Ross",1140
1963,"Chandler",31
1963,"Joey",1401
1964,"Rachel",2267
1964,"Phoebe",100
1964,"Monica",4665
1964,"Ross",1023
1964,"Chandler",31
1964,"Joey",1399
1965,"Rachel",2025
1965,"Phoebe",75
1965,"Monica",5128
1965,"Ross",987
1965,"Chandler",27
1965,"Joey",1146
1966,"Rachel",2285
1966,"Phoebe",106
1966,"Monica",4730
1966,"Ross",916
1966,"Chandler",34
1966,"Joey",1086
1967,"Rachel",3327
1967,"Phoebe",137
1967,"Monica",4971
1967,"Ross",797
1967,"Chandler",50
1967,"Joey",1151
1968,"Rachel",3738
1968,"Phoebe",96
1968,"Monica",5225
